Loss,Mean,Download Time (s)
0.1,50,14.077369689941406s
0.1,100,15.206804752349854s
0.1,150,16.253423929214478s
0.1,200,17.42939519882202s
0.1,250,19.402599573135376s
0.1,500,24.595972299575806s
0.5,50,14.822824716567993s
0.5,100,15.880367040634155s
0.5,150,18.36801552772522s
0.5,200,19.23482060432434s
0.5,250,19.521978855133057s
0.5,500,28.923988342285156s
1.0,50,15.10831594467163s
1.0,100,16.611048460006714s
1.0,150,18.5644211769104s
1.0,200,20.51198124885559s
1.0,250,19.547915935516357s
1.0,500,30.33665919303894s
1.5,50,17.693982362747192s
1.5,100,17.965736389160156s
1.5,150,20.360840320587158s
1.5,200,18.406184196472168s
1.5,250,18.432626008987427s
1.5,500,28.17954921722412s
2.0,50,19.28662633895874s
2.0,100,17.802876949310303s
2.0,150,19.525430917739868s
2.0,200,21.851555585861206s
2.0,250,21.343565940856934s
2.0,500,32.270528078079224s
5.0,50,23.742246627807617s
5.0,100,19.208069324493408s
5.0,150,19.785604000091553s
5.0,200,27.643008947372437s
5.0,250,21.004815340042114s
5.0,500,41.89368557929993s
